timestamp,session_start,packet_count,elapsed_time,packet_rate,packets_lost,loss_rate_percent,out_of_order,duplicates,jitter_ms,queue_size,listen_port,sample_rate,channels
2025-06-12T23:30:53.587190,2025-06-12T23:30:26.058462,100,27.528688192367554,3.6325741096419346,0,0.0,0,0,418.13792110137956,10,5004,48000,2
2025-06-12T23:30:54.078095,2025-06-12T23:30:26.058462,200,28.01958394050598,7.1378647314913835,6,2.912621359223301,0,0,422.3172367474624,10,5004,48000,2
2025-06-12T23:30:56.077619,2025-06-12T23:30:26.058462,300,30.019068241119385,9.993647957036433,6,1.9607843137254901,0,0,388.142180218983,10,5004,48000,2
2025-06-12T23:30:58.087756,2025-06-12T23:30:26.058462,400,32.02923917770386,12.48858887283365,6,1.477832512315271,0,0,401.62826085960444,9,5004,48000,2
2025-06-12T23:31:00.087208,2025-06-12T23:30:26.058462,500,34.02864623069763,14.693502545186304,6,1.185770750988142,0,0,398.2686464018851,9,5004,48000,2
2025-06-12T23:31:02.088060,2025-06-12T23:30:26.058462,600,36.02950096130371,16.65301999726308,6,0.9900990099009901,0,0,399.3694878735153,10,5004,48000,2
2025-06-12T23:31:04.087398,2025-06-12T23:30:26.058462,700,38.02882504463196,18.407089863503685,6,0.84985835694051,0,0,399.82457800234585,8,5004,48000,2
2025-06-12T23:31:06.087845,2025-06-12T23:30:26.058462,800,40.0292751789093,19.985373115661748,6,0.7444168734491315,0,0,400.96004838307437,10,5004,48000,2
2025-06-12T23:31:08.096926,2025-06-12T23:30:26.058462,900,42.038374185562134,21.409010634600147,6,0.6622516556291391,0,0,411.24398230018596,9,5004,48000,2
2025-06-12T23:31:10.087608,2025-06-12T23:30:26.058462,1000,44.02905297279358,22.712275928758217,6,0.5964214711729622,0,0,399.8712491659213,8,5004,48000,2
2025-06-12T23:31:12.089106,2025-06-12T23:30:26.058462,1100,46.030532121658325,23.897181920311258,6,0.5424954792043399,0,0,401.76368292367397,10,5004,48000,2
2025-06-12T23:31:14.098152,2025-06-12T23:30:26.058462,1200,48.03958606719971,24.9793992463089,6,0.4975124378109453,0,0,412.8524719392333,8,5004,48000,2
2025-06-12T23:31:16.087714,2025-06-12T23:30:26.058462,1300,50.02914094924927,25.98485553287334,6,0.45941807044410415,0,0,397.8001927486537,10,5004,48000,2
2025-06-12T23:31:18.078207,2025-06-12T23:30:26.058462,1400,52.01962614059448,26.91291929350265,6,0.42674253200568996,0,0,388.0967061514006,10,5004,48000,2
2025-06-12T23:31:20.078700,2025-06-12T23:30:26.058462,1500,54.02011704444885,27.767433357572504,6,0.398406374501992,0,0,388.58714243434525,9,5004,48000,2
2025-06-12T23:31:22.088589,2025-06-12T23:30:26.058462,1600,56.03002214431763,28.55611935827633,6,0.37359900373599003,0,0,398.66744487160025,10,5004,48000,2
2025-06-12T23:31:24.088832,2025-06-12T23:30:26.058462,1700,58.03024411201477,29.295068907835706,6,0.3516998827667058,0,0,396.70123884443683,10,5004,48000,2
2025-06-12T23:31:26.078656,2025-06-12T23:30:26.058462,1800,60.02009606361389,29.989955332497672,6,0.33222591362126247,0,0,385.83059059734745,8,5004,48000,2
2025-06-12T23:31:28.088168,2025-06-12T23:30:26.058462,1900,62.02962827682495,30.630523715549394,6,0.3147953830010493,0,0,398.4378645438857,10,5004,48000,2
2025-06-12T23:31:30.088152,2025-06-12T23:30:26.058462,2000,64.02958703041077,31.235559883434867,6,0.29910269192422734,0,0,400.7504951551023,9,5004,48000,2
2025-06-12T23:31:32.097762,2025-06-12T23:30:26.058462,2100,66.03923606872559,31.799277596345544,6,0.2849002849002849,0,0,409.2130144430328,9,5004,48000,2
2025-06-12T23:31:34.087715,2025-06-12T23:30:26.058462,2200,68.02921509742737,32.33904722918369,6,0.271985494106981,0,0,396.58375180250505,9,5004,48000,2
2025-06-12T23:31:36.079279,2025-06-12T23:30:26.058462,2300,70.02077913284302,32.84739228103208,6,0.26019080659150046,0,0,388.2805488523983,9,5004,48000,2
2025-06-12T23:31:38.098669,2025-06-12T23:30:26.058462,2400,72.04017305374146,33.31474506883287,6,0.24937655860349126,0,0,410.3947358855304,9,5004,48000,2
2025-06-12T23:31:40.088697,2025-06-12T23:30:26.058462,2500,74.03020691871643,33.769998816090656,6,0.23942537909018355,0,0,400.7579774024365,9,5004,48000,2
2025-06-12T23:31:42.077676,2025-06-12T23:30:26.058462,2600,76.01918697357178,34.201891700103225,6,0.23023791250959325,0,0,383.83656280509615,10,5004,48000,2
2025-06-12T23:31:44.088048,2025-06-12T23:30:26.058462,2700,78.02955222129822,34.6022746912936,6,0.22172949002217296,0,0,398.4987866986375,10,5004,48000,2
2025-06-12T23:31:46.089670,2025-06-12T23:30:26.058462,2800,80.03115510940552,34.98637494576078,6,0.21382751247327159,0,0,401.39789691907026,9,5004,48000,2
2025-06-12T23:31:48.098916,2025-06-12T23:30:26.058462,2900,82.04039812088013,35.348438896250556,6,0.20646937370956642,0,0,411.4777094440017,9,5004,48000,2
2025-06-12T23:31:50.079435,2025-06-12T23:30:26.058462,3000,84.02084708213806,35.705424358162276,6,0.19960079840319359,0,0,384.4801704074229,10,5004,48000,2
2025-06-12T23:31:52.089127,2025-06-12T23:30:26.058462,3100,86.03057098388672,36.03370249141577,6,0.19317450096587252,0,0,399.61670260849337,8,5004,48000,2
2025-06-12T23:31:54.098829,2025-06-12T23:30:26.058462,3200,88.04026389122009,36.347006001184006,6,0.18714909544603867,0,0,411.0504800080673,10,5004,48000,2
2025-06-12T23:31:56.090727,2025-06-12T23:30:26.058462,3300,90.0321569442749,36.65357036866865,6,0.18148820326678766,0,0,400.3281215809385,10,5004,48000,2
2025-06-12T23:31:58.078622,2025-06-12T23:30:26.058462,3400,92.02007007598877,36.948461321452285,6,0.17615971814445097,0,0,384.62830353658677,10,5004,48000,2
2025-06-12T23:32:00.079144,2025-06-12T23:30:26.058462,3500,94.02057909965515,37.22589281534044,6,0.17113519680547634,0,0,387.46715799892047,10,5004,48000,2
2025-06-12T23:32:02.089558,2025-06-12T23:30:26.058462,3600,96.03101205825806,37.487889826840814,6,0.16638935108153077,0,0,398.27920731714624,10,5004,48000,2
2025-06-12T23:32:04.090106,2025-06-12T23:30:26.058462,3700,98.03153419494629,37.74295720642452,6,0.16189962223421478,0,0,398.38718206128283,10,5004,48000,2
2025-06-12T23:32:06.089251,2025-06-12T23:30:26.058462,3800,100.03067111968994,37.988348548148565,6,0.1576458223857068,0,0,396.73037380787304,9,5004,48000,2
2025-06-12T23:32:08.088676,2025-06-12T23:30:26.058462,3900,102.03007411956787,38.22402398169029,6,0.15360983102918588,0,0,398.7881745311688,9,5004,48000,2
2025-06-12T23:32:10.090294,2025-06-12T23:30:26.058462,4000,104.03170108795166,38.449818258938926,6,0.14977533699450823,0,0,400.5957043051052,10,5004,48000,2
2025-06-12T23:32:12.089749,2025-06-12T23:30:26.058462,4100,106.03116011619568,38.667878343563906,6,0.14612761811982464,0,0,397.2467394577227,10,5004,48000,2
2025-06-12T23:32:14.079343,2025-06-12T23:30:26.058462,4200,108.02080202102661,38.881399891684346,6,0.14265335235378032,0,0,385.5867328918815,10,5004,48000,2
2025-06-12T23:32:16.080034,2025-06-12T23:30:26.058462,4300,110.02148199081421,39.083276485577706,6,0.13934045517882027,0,0,386.2987434605428,10,5004,48000,2
2025-06-12T23:32:18.089300,2025-06-12T23:30:26.058462,4400,112.0307970046997,39.2749147345209,6,0.13617793917385385,0,0,398.8575193164827,9,5004,48000,2
